,Year,Location Short,Location,Data Value 1,Data Value 2,Low Confidence Limit,High Confidence Limit,Lat and Long,Location ID,Category
16060,2016,UT,Utah,2.9,2.9,2.7,3.2,"(39.360700171000474, -111.58713063499971)",49,GENDER
16142,2016,VT,Vermont,3.5,3.5,3.1,3.9,"(43.62538123900049, -72.51764079099962)",50,GENDER
16437,2016,VA,Virginia,2.7,2.7,2.4,3.0,"(37.54268067400045, -78.45789046299967)",51,GENDER
17919,2016,IL,Illinois,3.0,3.0,2.6,3.4,"(40.48501028300046, -88.99771017799969)",17,GENDER
17954,2016,IN,Indiana,3.6,3.6,3.2,3.9,"(39.766910452000445, -86.14996019399968)",18,GENDER
18092,2016,IA,Iowa,2.6,2.6,2.3,2.9,"(42.46940091300047, -93.81649055599968)",19,GENDER
18800,2016,KS,Kansas,2.6,2.6,2.3,2.8,"(38.34774030000045, -98.20078122699965)",20,GENDER
37588,2016,LA,Louisiana,3.5,3.5,3.0,3.9,"(31.31266064400046, -92.44568007099969)",22,GENDER
37776,2016,ME,Maine,3.7,3.7,3.3,4.1,"(45.254228894000505, -68.98503133599962)",23,GENDER
37901,2016,US,United States,3.2,3.2,3.0,3.4,,59,GENDER
37902,2016,AL,Alabama,3.9,3.9,3.5,4.3,"(32.84057112200048, -86.63186076199969)",1,GENDER
37903,2016,AK,Alaska,2.8,2.8,2.2,3.4,"(64.84507995700051, -147.72205903599973)",2,GENDER
37904,2016,AZ,Arizona,3.4,3.4,3.0,3.8,"(34.865970280000454, -111.76381127699972)",4,GENDER
37905,2016,AR,Arkansas,4.4,4.4,3.7,5.1,"(34.74865012400045, -92.27449074299966)",5,GENDER
37906,2016,CA,California,3.0,3.0,2.8,3.2,"(37.63864012300047, -120.99999953799971)",6,GENDER
37907,2016,CO,Colorado,3.0,3.0,2.8,3.2,"(38.843840757000464, -106.13361092099967)",8,GENDER
37908,2016,CT,Connecticut,3.3,3.3,3.0,3.6,"(41.56266102000046, -72.64984095199964)",9,GENDER
37909,2016,DE,Delaware,3.0,3.0,2.5,3.5,"(39.008830667000495, -75.57774116799965)",10,GENDER
37910,2016,DC,District of Columbia,2.9,2.9,2.5,3.3,"(38.907192, -77.036871)",11,GENDER
37911,2016,FL,Florida,3.0,3.0,2.8,3.3,"(28.932040377000476, -81.92896053899966)",12,GENDER
37912,2016,GA,Georgia,3.2,3.2,2.8,3.7,"(32.83968109300048, -83.62758034599966)",13,GENDER
37913,2016,HI,Hawaii,2.8,2.8,2.5,3.2,"(21.304850435000446, -157.85774940299973)",15,GENDER
37914,2016,ID,Idaho,2.8,2.8,2.4,3.1,"(43.682630005000476, -114.3637300419997)",16,GENDER
37915,2016,KY,Kentucky,3.7,3.7,3.3,4.1,"(37.645970271000465, -84.77497104799966)",21,GENDER
37916,2016,MD,Maryland,2.8,2.8,2.6,3.1,"(39.29058096400047, -76.60926011099963)",24,GENDER
37917,2016,MA,Massachusetts,3.4,3.4,3.1,3.8,"(42.27687047000046, -72.08269067499964)",25,GENDER
37918,2016,MI,Michigan,3.5,3.5,3.3,3.8,"(44.6613195430005, -84.71439026999968)",26,GENDER
37919,2016,MN,Minnesota,2.5,2.5,2.3,2.7,"(46.35564873600049, -94.79420050299967)",27,GENDER
37920,2016,MS,Mississippi,3.4,3.4,2.9,3.8,"(32.745510099000455, -89.53803082499968)",28,GENDER
37921,2016,MO,Missouri,3.5,3.5,3.0,4.0,"(38.635790776000476, -92.56630005299968)",29,GENDER
37922,2016,MT,Montana,2.8,2.8,2.4,3.2,"(47.06652897200047, -109.42442064499971)",30,GENDER
37923,2016,NE,Nebraska,2.4,2.4,2.1,2.6,"(41.6410409880005, -99.36572062299967)",31,GENDER
37924,2016,NV,Nevada,3.8,3.8,3.2,4.3,"(39.493240390000494, -117.07184056399967)",32,GENDER
37925,2016,NH,New Hampshire,3.1,3.1,2.7,3.5,"(43.65595011300047, -71.50036091999965)",33,GENDER
37926,2016,NJ,New Jersey,2.9,2.9,2.5,3.4,"(40.13057004800049, -74.27369128799967)",34,GENDER
37927,2016,NM,New Mexico,3.6,3.6,3.2,4.1,"(34.52088095200048, -106.24058098499967)",35,GENDER
37928,2016,NY,New York,3.1,3.1,2.9,3.4,"(42.82700103200045, -75.54397042699964)",36,GENDER
37929,2016,NC,North Carolina,3.2,3.2,2.8,3.5,"(35.466220975000454, -79.15925046299964)",37,GENDER
37930,2016,ND,North Dakota,2.7,2.7,2.4,3.1,"(47.47531977900047, -100.11842104899966)",38,GENDER
37931,2016,OH,Ohio,3.2,3.2,2.9,3.5,"(40.06021014100048, -82.40426005599966)",39,GENDER
37932,2016,OK,Oklahoma,3.8,3.8,3.3,4.2,"(35.47203135600046, -97.52107021399968)",40,GENDER
37933,2016,OR,Oregon,3.6,3.6,3.2,4.0,"(44.56744942400047, -120.15503132599969)",41,GENDER
37934,2016,PA,Pennsylvania,3.3,3.3,3.0,3.6,"(40.79373015200048, -77.86070029399963)",42,GENDER
37935,2016,RI,Rhode Island,3.8,3.8,3.3,4.3,"(41.70828019300046, -71.52247031399963)",44,GENDER
37936,2016,SC,South Carolina,3.4,3.4,3.1,3.7,"(33.998821303000454, -81.04537120699968)",45,GENDER
37937,2016,SD,South Dakota,2.2,2.2,1.7,2.7,"(44.353130053000484, -100.3735306369997)",46,GENDER
37938,2016,TN,Tennessee,3.5,3.5,3.0,3.9,"(35.68094058000048, -85.77449091399967)",47,GENDER
37939,2016,TX,Texas,2.7,2.7,2.4,3.1,"(31.827240407000488, -99.42677020599967)",48,GENDER
37940,2016,WA,Washington,3.2,3.2,2.9,3.4,"(47.52227862900048, -120.47001078999972)",53,GENDER
37941,2016,WV,West Virginia,4.4,4.4,4.0,4.8,"(38.66551020200046, -80.71264013499967)",54,GENDER
37942,2016,WI,Wisconsin,3.1,3.1,2.7,3.5,"(44.39319117400049, -89.81637074199966)",55,GENDER
